タイムスタンプ,受付,国籍※国籍が分かる場合「その他」に国名を記入,時間帯,目的,人数,性別,年齢,問い合わせ内容,Komatsu九館内の案内,交通,目的地※主な所を一ヶ所,周辺店舗、飲食店※複数可,観光案内,パンフレットお渡し,物産,宿泊,イベント,その他（落とし物、ATM、公衆電話、授乳室など）,問い合わせ内容/回答
2025/04/16,窓口,2.アジア,16時台,観光,個人,男性,40代から50代,シェアサイクルについて,シェアサイクルについて,,,,,,,,,,シェアサイクルについてで以前、レンタルした時にタイヤの空気とバッテリーの残量が少なかった、その時はどうしたらいいかのお問い合わせで、シェアサイクルに電話で聞いた所、5分以内であれば返却して別の自転車に乗り換えられるとの事でその旨をお伝えしました　(大音)
2025/04/17,電話,1.日本,09時台,観光,個人,男性,40代から50代,観光案内,,,,,橋立漁港,お渡しなし,,,,,来週、橋立漁港に行きたいがバスがあるかのお問い合わせで加賀温泉駅の観光案内を案内しました　(大音)
2025/04/17,窓口,1.日本,10時台,観光,個人,男性,20代から30代,交通,,電車とバスでの行き方をご案内,いしかわ動物園,,,,,,,,
2025/04/17,窓口,1.日本,12時台,観光,個人,女性,40代から50代,能美市に行きたい,能美市に行きたい,,,,,,,,,,能美市の粟生小学校に行きたいとお問い合わ、バスの時刻表をお渡ししバス、電車、乗り場を案内しました、今すぐに見れる観光はないかという事で、みよっさを案内しました　(大音)
2025/04/17,窓口,1.日本,13時台,観光,個人,男性,40代から50代,Komatsu九館内,駅そばはあるのか,,,,,,,,,,駅そばはあるのかお問い合わせ、白山そばと、つるっとを案内しました（大音）
2025/04/17,窓口,1.日本,17時台,ビジネス,個人,女性,60代以上,宿泊,,,,,,,,お通夜で来られたがホテルが取れない,,,京都からお通夜で来られたてホテルが取れないとお問い合わせでグリーンホテルをご案内しました（北出、大音)
2025/04/18,窓口,1.日本,11時台,観光,個人,女性,40代から50代,Komatsu九館内,喫煙所,,,,,,,,,,
2025/04/18,窓口,1.日本,09時台,市民利用,個人,女性,40代から50代,Komatsu九館内,お手洗い,,,,,,,,,,
2025/04/18,窓口,1.日本,12時台,観光,個人,男性,40代から50代,Komatsu九館内,UNICOFFEE,,,,,,,,,,
2025/04/18,窓口,1.日本,13時台,市民利用,個人,男性,60代以上,交通,,バス,市内,,,,,,,,
2025/04/18,電話,1.日本,14時台,ビジネス,個人,女性,40代から50代,交通,,徒歩、タクシー、シェアサイクルをご案内,商工会議所,,,,,,,,
2025/04/18,窓口,1.日本,14時台,観光,個人,女性,60代以上,周辺店舗、飲食店,,,,松葉屋へ行きたい,,,,,,,地図で案内して見て歩きマップをお渡ししました。
2025/04/18,電話,1.日本,16時台,観光,個人,女性,40代から50代,観光案内,,,,,那谷寺,お渡しなし,,,,,足が少し悪いとの事で那谷寺のバリアフリー情報のお問い合わせ。車椅子貸出をしている事、一部階段があるがスロープ設置があるとご案内しました（田中）
2025/04/18,窓口,1.日本,15時台,観光,個人,男性,40代から50代,周辺店舗、飲食店,,,,小松うどん、塩焼きそば,,,,,,,小松うどんが食べられる店はあるかとのお問い合わせ。つるっとは15時で閉店していたためほたやをご案内。また小松の名物として塩焼きそば、アルバカレーをご案内しました（田中）
2025/04/19,窓口,1.日本,09時台,観光,2〜5人,男女,60代以上,交通,,バス,木場道の駅,,,,,,,,
2025/04/19,電話,1.日本,09時台,観光,個人,男性,40代から50代,観光案内,,,,,こまつの杜,お渡しなし,,,,,
2025/04/19,窓口,3.欧米,10時台,観光,個人,男性,40代から50代,交通,,バス,粟津線,,,,,,,,
2025/04/19,窓口,1.日本,11時台,観光,個人,男性,40代から50代,観光案内,,,,,"みよっさ, 安宅住吉神社、安宅の関, こまつの杜","じゃらん, 見て歩きマップ, 個別のパンフレット",,,,,小松駅前で観光出来る所はあるかとのお問い合わせ。こまつの杜、みよっさ、安宅の関をご案内しました（田中）
2025/04/19,窓口,1.日本,12時台,観光,個人,男性,60代以上,観光案内,,,,,周辺を見たい,見て歩きマップ,,,,,見て歩きマップをお渡ししました。(林)
2025/04/19,窓口,1.日本,12時台,観光,個人,男性,40代から50代,物産,,,,,,,キーホルダー,,,,ご当地キーホルダーを探されていてポムポムプリンを案内しましたが思いと違っていてカブーレとコンビニを案内しました。(林)
2025/04/19,窓口,1.日本,13時台,観光,個人,男性,60代以上,Komatsu九館内,待合室,,,,,,,,,,
